Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,14.43,17.065001,14.38,16.4,13.70678,225785000
2018-02-01,16.4,19.129999,14.655,18.59,15.537136,298266500
2018-03-01,18.700001,19.475,17.405001,17.540001,14.659573,261937000
2018-04-01,17.48,17.879999,16.610001,17.049999,14.306299,242346600
2018-05-01,16.99,17.82,15.12,15.24,12.787566,296193200
2018-06-01,15.33,16.18,14.475,14.61,12.258948,263079600
2018-07-01,14.5,16.155001,14.46,15.44,13.047415,161219000
2018-08-01,15.42,17.59,15.32,16.530001,13.96851,223515300
2018-09-01,16.42,17.27,16.16,16.309999,13.782596,204251200
2018-10-01,16.370001,17.02,14.36,15.25,12.976213,217893400
2018-11-01,15.24,16.518999,14.405,15,12.763488,237274600
2018-12-01,15.26,16.26,12.087,13.21,11.240379,276520300
2019-01-01,12.95,15.86,12.93,15.59,13.369205,232053500
2019-02-01,15.69,16.969999,15.565,16.379999,14.046667,201758800
2019-03-01,16.540001,16.540001,15.05,15.43,13.231997,268061600
2019-04-01,15.55,16.709999,15.53,15.81,13.654971,177006800
2019-05-01,15.95,16.07,13.59,13.72,11.849856,241478400
2019-06-01,13.74,15.22,13.55,14.95,12.912196,186795600
2019-07-01,15.24,15.485,14.23,14.37,12.510389,169643700
2019-08-01,14.33,14.709,12.52,13.82,12.031566,234029700
2019-09-01,13.67,15.455,13.375,15.17,13.206863,211517800
2019-10-01,15.31,16.545,13.82,16.41,14.395202,184619600
2019-11-01,16.1,17.59,15.75,15.83,13.886414,190627600
2019-12-01,15.83,16.450001,15.365,15.86,13.912729,168691500
2020-01-01,16,16.18,13.81,13.93,12.312677,195572100
2020-02-01,14.06,15.18,12.06,12.79,11.305036,173105200
2020-03-01,12.79,13.33,7.43,9.71,8.582633,343920600
2020-04-01,9.16,10.8,8.95,10.06,8.988825,196283600
2020-05-01,9.81,10.45,8.62,9.71,8.676093,227683100
2020-06-01,9.67,11.71,8.97,9.73,8.693963,319610400
2020-07-01,9.72,9.95,8.95,9.87,8.911323,219142900
2020-08-01,9.87,10.6,9.12,9.67,8.730748,212761400
2020-09-01,9.67,10.1,8.835,9.37,8.459888,239456800
2020-10-01,9.43,10.08,8.285,8.64,7.899641,218305500
2020-11-01,8.79,11.68,8.645,11.04,10.093987,242105300
2020-12-01,11.14,12.37,11,11.85,10.834578,222413400
2021-01-01,11.9,13.15,11.53,12.34,11.395792,185337500
2021-02-01,12.43,14.89,12.18,14.56,13.445927,196739400
2021-03-01,14.83,16.139999,13.485,15.74,14.535637,296171000
2021-04-01,15.78,16.6,15.54,16.02,14.915066,258307900
2021-05-01,16.040001,16.74,15.62,15.96,14.859204,171477900
2021-06-01,16.139999,16.315001,14.31,14.58,13.574386,211384000
2021-07-01,14.72,14.81,13.48,14.5,13.603749,185197100
2021-08-01,14.59,15.542,14.27,15.46,14.504411,145396900
2021-09-01,15.5,15.89,12.99,14.25,13.369201,245278800
2021-10-01,14.34,15.69,14.32,14.65,13.857912,223480800
2021-11-01,14.73,15.95,14.11,14.35,13.574133,204887700
2021-12-01,14.03,16.215,13.86,15.77,14.917356,240441100
2022-01-01,15.89,17.6,15.4,16.33,15.566977,239449000
2022-02-01,16.360001,17.76,15.46,15.92,15.176135,183855800
2022-03-01,15.94,17.655001,15.265,16.709999,15.929222,270673400
2022-04-01,16.879999,16.879999,15.05,15.41,14.798444,183459800
2022-05-01,15.405,16.799999,13.534,15.6,14.980905,275801300
2022-06-01,15.81,16.030001,13.06,13.26,12.733768,229076100
2022-07-01,13.22,14.33,12.4,14.24,13.787581,178666700
2022-08-01,14.11,15.2,13.53,13.6,13.167915,248446700
2022-09-01,13.5,13.82,11.9,11.98,11.599383,277774400
2022-10-01,12.17,14.47,12.02,14.27,13.941855,315166900
2022-11-01,14.4,16.860001,13.57,16.780001,16.394136,298111100
2022-12-01,16.389999,16.93,15.375,15.96,15.592993,272144700
2023-01-01,16.09,17.25,15.64,16.129999,15.875527,287730200
2023-02-01,16.120001,16.73,15.455,15.61,15.363732,238510400
2023-03-01,15.66,16.049999,13.66,15.93,15.678684,333855600
2023-04-01,15.9,16.4,13.96,14.32,14.21673,191258100
2023-05-01,14.39,15.735,13.655,14.42,14.31601,297774400
2023-06-01,14.5,17.74,14.43,16.799999,16.678844,312160300
2023-07-01,16.73,17.74,16.42,17.379999,17.379999,197560100
